hh_7p
feature,num comps (before),mean (before),std (before),num comps (after),mean (after),std (after)
mean_frequency,25000,0.47865920131861617,90.59058058617902,25000,0.47865920131861617,90.59058058617902
adaptation_index,20842,-0.00020757379027388354,0.03112719114135856,20836,-0.00012625307873876567,0.03038336753719895
time_to_first_spike,25000,-0.02692800000000039,8.023702816207603,25000,-0.02692800000000039,8.023702816207603
mean_AP_amplitude,16310,-0.03131392066158425,46.17680809250252,16310,-0.03131392066158425,46.17680809250252
AHP_depth,25000,0.13806965173345975,31.835548592056945,25000,0.13806965173345975,31.835548592056945
spike_half_width,24999,-0.012364243231298653,2.627543312444987,24985,0.009051509836463271,1.210790049815128
