mainen_7p
feature,num comps (before),mean (before),std (before),num comps (after),mean (after),std (after)
mean_frequency,25000,0.009869477307248749,14.646359825387753,24998,0.011129111625104812,14.569115648473737
adaptation_index,15404,0.0008340461253669295,0.09682733034883645,15404,0.0008340461253669295,0.09682733034883645
time_to_first_spike,25000,0.07249200000000064,14.802995903192766,25000,0.07249200000000064,14.802995903192766
mean_AP_amplitude,24959,0.08392557010995551,13.224216480893501,24959,0.08392557010995551,13.224216480893501
AHP_depth,25000,0.1125749327526493,21.585126542860966,25000,0.1125749327526493,21.585126542860966
spike_half_width,25000,0.02498760610735425,3.993580348780824,24996,0.005154086983502183,0.7819226392355131
