mainen_10p
feature,num comps (before),mean (before),std (before),num comps (after),mean (after),std (after)
mean_frequency,24995,-0.021996536596579797,17.91324228918232,24995,-0.021996536596579797,17.91324228918232
adaptation_index,24439,-0.0005801438576213092,0.08180129616759371,24439,-0.0005801438576213092,0.08180129616759371
time_to_first_spike,24995,0.04158831766353353,21.85188691509523,24995,0.04158831766353353,21.85188691509523
mean_AP_amplitude,24992,-0.05454833429950125,12.774524847090413,24992,-0.05454833429950125,12.774524847090413
AHP_depth,24995,-0.02523955666899526,19.580529404069498,24995,-0.02523955666899526,19.580529404069498
spike_half_width,24995,0.0012239892987317886,0.436594713473368,24988,-0.0006882096249676551,0.13008845971865643
