hh_4p_hard
feature,num comps (before),mean (before),std (before),num comps (after),mean (after),std (after)
mean_frequency,25000,0.02542723752348962,60.3496617442363,25000,0.02542723752348962,60.3496617442363
adaptation_index,25000,6.867539661356006e-06,0.019747005869496535,25000,6.867539661356006e-06,0.019747005869496535
time_to_first_spike,25000,-0.0013320000000000187,0.8490405324694578,25000,-0.0013320000000000187,0.8490405324694578
mean_AP_amplitude,19353,0.029872336340628615,14.409931487472535,19353,0.029872336340628615,14.409931487472535
AHP_depth,25000,0.014519617963326152,14.523380289191781,25000,0.014519617963326152,14.523380289191781
spike_half_width,25000,0.0012222845238440358,0.6295223674225235,24998,-0.0015483896781984213,0.48930515649334433
